lat,long,cameraType,cameraLocation
28.750712,77.115234,ENTRY,Main Gate — South Campus
28.751890,77.116012,EXIT,Main Gate — South Campus
28.752340,77.114890,BOTH,Gate 2 — North Campus
28.749500,77.117890,ENTRY,Gate 3 — East Wing
28.753100,77.113450,EXIT,Gate 4 — West Hostel Block
28.748920,77.118760,INTERIOR,Library Building Entrance
28.750100,77.115900,INTERIOR,Admin Block — Ground Floor
28.751200,77.116700,BOTH,Sports Complex Gate
28.752800,77.114100,ENTRY,Workshop & Labs Block
28.749000,77.117200,EXIT,Faculty Parking Bay
